id_achado,id_transacao,id_regra,severidade,data_deteccao,status_achado,valor_em_risco,descricao
AC000064,TX000077,R001,Alta,2026-02-13,Aberto,802.42,"Valor de R$ 10.802,42 acima da alçada do aprovador (Analista, limite R$ 10.000,00)."
AC000065,TX000078,R004,Baixa,2025-09-20,Aberto,0.0,Pagamento liquidado em sábado.
AC000066,TX000081,R003,Alta,2025-11-16,Resolvido,4267.22,Solicitante e aprovador são o mesmo colaborador.
AC000067,TX000083,R005,Alta,2026-02-02,Resolvido,1753.03,Fornecedor com situação cadastral irregular na due diligence.
AC000068,TX000083,R010,Alta,2026-02-02,Em análise,1753.03,Pagamento a fornecedor sinalizado como parte relacionada.
AC000069,TX000084,R001,Alta,2025-08-11,Resolvido,48239.28,"Valor de R$ 98.239,28 acima da alçada do aprovador (Coordenador, limite R$ 50.000,00)."
AC000070,TX000084,R005,Alta,2025-08-11,Aberto,98239.28,Fornecedor com situação cadastral irregular na due diligence.
AC000071,TX000084,R010,Alta,2025-08-11,Em análise,98239.28,Pagamento a fornecedor sinalizado como parte relacionada.
AC000072,TX000085,R001,Alta,2026-05-25,Aberto,202447.51,"Valor de R$ 402.447,51 acima da alçada do aprovador (Gerente, limite R$ 200.000,00)."
AC000073,TX000085,R002,Alta,2026-05-25,Falso positivo,402447.51,"Pagamento de R$ 402.447,51 a fornecedor sem contrato vigente (acima do limite de R$ 50.000,00)."
AC000074,TX000087,R009,Média,2026-03-26,Aberto,1549.38,"Brinde/hospitalidade de R$ 2.549,38 acima do teto de R$ 1.000,00."
AC000075,TX000088,R004,Baixa,2026-02-07,Resolvido,0.0,Pagamento liquidado em sábado.
AC000076,TX000093,R005,Alta,2025-07-02,Aberto,22109.96,Fornecedor com situação cadastral irregular na due diligence.
AC000077,TX000094,R008,Baixa,2026-03-05,Em análise,0.0,Lançamento sem categoria de despesa.
AC000078,TX000095,R005,Alta,2025-08-05,Aberto,5335.97,Fornecedor com situação cadastral irregular na due diligence.
AC000079,TX000095,R008,Baixa,2025-08-05,Resolvido,0.0,Lançamento sem categoria de despesa.
AC000080,TX000095,R010,Alta,2025-08-05,Em análise,5335.97,Pagamento a fornecedor sinalizado como parte relacionada.
AC000081,TX000096,R003,Alta,2025-10-24,Resolvido,341384.49,Solicitante e aprovador são o mesmo colaborador.
AC000082,TX000097,R005,Alta,2026-02-23,Aberto,36061.42,Fornecedor com situação cadastral irregular na due diligence.
AC000083,TX000097,R010,Alta,2026-02-23,Em análise,36061.42,Pagamento a fornecedor sinalizado como parte relacionada.
AC000084,TX000099,R002,Alta,2026-01-06,Falso positivo,413256.24,"Pagamento de R$ 413.256,24 a fornecedor sem contrato vigente (acima do limite de R$ 50.000,00)."
AC000085,TX000100,R001,Alta,2025-11-20,Em análise,46177.86,"Valor de R$ 96.177,86 acima da alçada do aprovador (Coordenador, limite R$ 50.000,00)."
AC000086,TX000102,R004,Baixa,2026-02-07,Falso positivo,0.0,Pagamento liquidado em sábado.
AC000087,TX000105,R010,Alta,2025-07-28,Aberto,987.65,Pagamento a fornecedor sinalizado como parte relacionada.
AC000088,TX000111,R005,Alta,2026-01-22,Aberto,12909.52,Fornecedor com situação cadastral irregular na due diligence.
AC000089,TX000112,R003,Alta,2026-02-03,Resolvido,856.76,Solicitante e aprovador são o mesmo colaborador.
AC000090,TX000113,R005,Alta,2025-08-18,Aberto,27537.91,Fornecedor com situação cadastral irregular na due diligence.
AC000091,TX000113,R010,Alta,2025-08-18,Em análise,27537.91,Pagamento a fornecedor sinalizado como parte relacionada.
AC000092,TX000118,R002,Alta,2025-07-14,Aberto,478210.26,"Pagamento de R$ 478.210,26 a fornecedor sem contrato vigente (acima do limite de R$ 50.000,00)."
AC000093,TX000120,R001,Alta,2026-06-10,Em análise,6539.83,"Valor de R$ 16.539,83 acima da alçada do aprovador (Analista, limite R$ 10.000,00)."
AC000094,TX000120,R005,Alta,2026-06-10,Em análise,16539.83,Fornecedor com situação cadastral irregular na due diligence.
AC000095,TX000122,R005,Alta,2026-02-19,Aberto,32072.51,Fornecedor com situação cadastral irregular na due diligence.
AC000096,TX000123,R010,Alta,2026-03-23,Em análise,3591.42,Pagamento a fornecedor sinalizado como parte relacionada.
AC000097,TX000124,R002,Alta,2025-10-07,Resolvido,180806.85,"Pagamento de R$ 180.806,85 a fornecedor sem contrato vigente (acima do limite de R$ 50.000,00)."
AC000098,TX000126,R010,Alta,2025-11-10,Aberto,4511.71,Pagamento a fornecedor sinalizado como parte relacionada.
AC000099,TX000127,R004,Baixa,2026-02-21,Resolvido,0.0,Pagamento liquidado em sábado.
AC000100,TX000129,R004,Baixa,2025-07-12,Resolvido,0.0,Pagamento liquidado em sábado.
AC000101,TX000132,R008,Baixa,2025-11-24,Aberto,0.0,Lançamento sem categoria de despesa.
AC000102,TX000134,R009,Média,2026-05-29,Aberto,2791.25,"Brinde/hospitalidade de R$ 3.791,25 acima do teto de R$ 1.000,00."
AC000103,TX000135,R001,Alta,2026-03-24,Aberto,8440.91,"Valor de R$ 18.440,91 acima da alçada do aprovador (Analista, limite R$ 10.000,00)."
AC000104,TX000135,R005,Alta,2026-03-24,Resolvido,18440.91,Fornecedor com situação cadastral irregular na due diligence.
AC000105,TX000137,R005,Alta,2026-03-27,Aberto,12152.16,Fornecedor com situação cadastral irregular na due diligence.
AC000106,TX000138,R005,Alta,2025-12-31,Resolvido,9005.0,Fornecedor com situação cadastral irregular na due diligence.
AC000107,TX000139,R001,Alta,2025-10-15,Em análise,1489627.83,"Valor de R$ 2.489.627,83 acima da alçada do aprovador (Diretor, limite R$ 1.000.000,00)."
AC000108,TX000139,R005,Alta,2025-10-15,Aberto,2489627.83,Fornecedor com situação cadastral irregular na due diligence.
AC000109,TX000139,R010,Alta,2025-10-15,Em análise,2489627.83,Pagamento a fornecedor sinalizado como parte relacionada.
AC000110,TX000140,R004,Baixa,2025-08-23,Aberto,0.0,Pagamento liquidado em sábado.
AC000111,TX000146,R005,Alta,2025-11-25,Falso positivo,522965.43,Fornecedor com situação cadastral irregular na due diligence.
AC000112,TX000147,R005,Alta,2025-11-14,Aberto,75393.77,Fornecedor com situação cadastral irregular na due diligence.
AC000113,TX000147,R010,Alta,2025-11-14,Resolvido,75393.77,Pagamento a fornecedor sinalizado como parte relacionada.
AC000114,TX000148,R003,Alta,2025-10-14,Resolvido,2633.32,Solicitante e aprovador são o mesmo colaborador.
AC000115,TX000148,R009,Média,2025-10-14,Aberto,1633.32,"Brinde/hospitalidade de R$ 2.633,32 acima do teto de R$ 1.000,00."
AC000116,TX000150,R005,Alta,2025-07-23,Aberto,8452.09,Fornecedor com situação cadastral irregular na due diligence.
AC000117,TX000151,R003,Alta,2026-03-09,Aberto,32822.63,Solicitante e aprovador são o mesmo colaborador.
AC000118,TX000151,R005,Alta,2026-03-09,Aberto,32822.63,Fornecedor com situação cadastral irregular na due diligence.
AC000119,TX000154,R004,Baixa,2026-02-21,Em análise,0.0,Pagamento liquidado em sábado.
AC000120,TX000154,R005,Alta,2026-02-21,Aberto,1041.5,Fornecedor com situação cadastral irregular na due diligence.
AC000121,TX000158,R004,Baixa,2025-12-07,Aberto,0.0,Pagamento liquidado em domingo.
AC000122,TX000160,R001,Alta,2025-11-08,Resolvido,57533.07,"Valor de R$ 1.057.533,07 acima da alçada do aprovador (Diretor, limite R$ 1.000.000,00)."
AC000123,TX000160,R004,Baixa,2025-11-08,Em análise,0.0,Pagamento liquidado em sábado.
AC000124,TX000161,R004,Baixa,2026-01-10,Aberto,0.0,Pagamento liquidado em sábado.
AC000125,TX000161,R008,Baixa,2026-01-10,Aberto,0.0,Lançamento sem categoria de despesa.
AC000126,TX000162,R005,Alta,2026-03-02,Aberto,34510.31,Fornecedor com situação cadastral irregular na due diligence.
AC000127,TX000166,R001,Alta,2026-02-02,Aberto,55222.97,"Valor de R$ 105.222,97 acima da alçada do aprovador (Coordenador, limite R$ 50.000,00)."
AC000128,TX000166,R002,Alta,2026-02-02,Em análise,105222.97,"Pagamento de R$ 105.222,97 a fornecedor sem contrato vigente (acima do limite de R$ 50.000,00)."
AC000129,TX000166,R005,Alta,2026-02-02,Aberto,105222.97,Fornecedor com situação cadastral irregular na due diligence.
AC000130,TX000168,R005,Alta,2026-05-25,Em análise,8429.61,Fornecedor com situação cadastral irregular na due diligence.
AC000131,TX000168,R006,Média,2026-05-25,Resolvido,8429.61,"Possível fracionamento: 3 pagamentos ao mesmo fornecedor em 10 dias somando R$ 58.042,67."
AC000132,TX000169,R003,Alta,2025-11-03,Resolvido,20370.5,Solicitante e aprovador são o mesmo colaborador.
AC000133,TX000173,R003,Alta,2025-10-10,Resolvido,20329.88,Solicitante e aprovador são o mesmo colaborador.
AC000134,TX000173,R005,Alta,2025-10-10,Em análise,20329.88,Fornecedor com situação cadastral irregular na due diligence.
AC000135,TX000174,R010,Alta,2026-05-18,Resolvido,12805.9,Pagamento a fornecedor sinalizado como parte relacionada.
AC000136,TX000175,R004,Baixa,2026-04-25,Resolvido,0.0,Pagamento liquidado em sábado.
AC000137,TX000175,R005,Alta,2026-04-25,Aberto,31311.5,Fornecedor com situação cadastral irregular na due diligence.
AC000138,TX000175,R010,Alta,2026-04-25,Aberto,31311.5,Pagamento a fornecedor sinalizado como parte relacionada.
AC000139,TX000178,R003,Alta,2025-10-16,Aberto,2184.77,Solicitante e aprovador são o mesmo colaborador.
AC000140,TX000179,R001,Alta,2026-03-27,Aberto,58695.69,"Valor de R$ 108.695,69 acima da alçada do aprovador (Coordenador, limite R$ 50.000,00)."
AC000141,TX000181,R010,Alta,2025-10-06,Resolvido,8469.17,Pagamento a fornecedor sinalizado como parte relacionada.
AC000142,TX000183,R005,Alta,2026-01-12,Resolvido,6602.55,Fornecedor com situação cadastral irregular na due diligence.
AC000143,TX000187,R005,Alta,2025-08-11,Falso positivo,2916.79,Fornecedor com situação cadastral irregular na due diligence.
AC000144,TX000188,R004,Baixa,2026-02-22,Aberto,0.0,Pagamento liquidado em domingo.
AC000145,TX000189,R004,Baixa,2025-08-16,Aberto,0.0,Pagamento liquidado em sábado.
AC000146,TX000189,R005,Alta,2025-08-16,Aberto,22496.51,Fornecedor com situação cadastral irregular na due diligence.
AC000147,TX000190,R001,Alta,2026-05-21,Aberto,40961.85,"Valor de R$ 90.961,85 acima da alçada do aprovador (Coordenador, limite R$ 50.000,00)."
AC000148,TX000190,R002,Alta,2026-05-21,Falso positivo,90961.85,"Pagamento de R$ 90.961,85 a fornecedor sem contrato vigente (acima do limite de R$ 50.000,00)."
AC000149,TX000190,R003,Alta,2026-05-21,Aberto,90961.85,Solicitante e aprovador são o mesmo colaborador.
AC000150,TX000190,R005,Alta,2026-05-21,Aberto,90961.85,Fornecedor com situação cadastral irregular na due diligence.
AC000151,TX000191,R001,Alta,2026-01-05,Em análise,1956.74,"Valor de R$ 11.956,74 acima da alçada do aprovador (Analista, limite R$ 10.000,00)."
AC000152,TX000192,R003,Alta,2026-05-26,Aberto,43357.57,Solicitante e aprovador são o mesmo colaborador.
AC000153,TX000194,R005,Alta,2025-07-01,Resolvido,4439.13,Fornecedor com situação cadastral irregular na due diligence.
AC000154,TX000194,R006,Média,2025-07-01,Aberto,4439.13,"Possível fracionamento: 4 pagamentos ao mesmo fornecedor em 10 dias somando R$ 67.578,10."
AC000155,TX000194,R010,Alta,2025-07-01,Resolvido,4439.13,Pagamento a fornecedor sinalizado como parte relacionada.
AC000156,TX000196,R005,Alta,2026-05-13,Resolvido,1598.39,Fornecedor com situação cadastral irregular na due diligence.
AC000157,TX000196,R006,Média,2026-05-13,Em análise,1598.39,"Possível fracionamento: 7 pagamentos ao mesmo fornecedor em 10 dias somando R$ 50.570,55."
AC000158,TX000198,R005,Alta,2025-11-03,Aberto,3320.35,Fornecedor com situação cadastral irregular na due diligence.
AC000159,TX000199,R004,Baixa,2026-05-10,Aberto,0.0,Pagamento liquidado em domingo.
AC000160,TX000199,R005,Alta,2026-05-10,Aberto,15496.96,Fornecedor com situação cadastral irregular na due diligence.
AC000161,TX000199,R006,Média,2026-05-10,Aberto,15496.96,"Possível fracionamento: 7 pagamentos ao mesmo fornecedor em 10 dias somando R$ 50.570,55."
AC000162,TX000200,R010,Alta,2026-03-14,Aberto,6267.08,Pagamento a fornecedor sinalizado como parte relacionada.
AC000163,TX000201,R003,Alta,2026-05-25,Aberto,44215.4,Solicitante e aprovador são o mesmo colaborador.
AC000164,TX000201,R005,Alta,2026-05-25,Em análise,44215.4,Fornecedor com situação cadastral irregular na due diligence.
AC000165,TX000201,R006,Média,2026-05-25,Aberto,44215.4,"Possível fracionamento: 3 pagamentos ao mesmo fornecedor em 10 dias somando R$ 58.042,67."
AC000166,TX000203,R005,Alta,2026-05-07,Aberto,282435.58,Fornecedor com situação cadastral irregular na due diligence.
AC000167,TX000204,R003,Alta,2026-03-27,Aberto,42957.89,Solicitante e aprovador são o mesmo colaborador.
AC000168,TX000205,R001,Alta,2025-07-23,Em análise,8182.31,"Valor de R$ 18.182,31 acima da alçada do aprovador (Analista, limite R$ 10.000,00)."
AC000169,TX000205,R005,Alta,2025-07-23,Falso positivo,18182.31,Fornecedor com situação cadastral irregular na due diligence.
AC000170,TX000206,R005,Alta,2025-08-05,Aberto,165204.03,Fornecedor com situação cadastral irregular na due diligence.
AC000171,TX000208,R001,Alta,2026-01-19,Aberto,2032.04,"Valor de R$ 12.032,04 acima da alçada do aprovador (Analista, limite R$ 10.000,00)."
AC000172,TX000208,R005,Alta,2026-01-19,Aberto,12032.04,Fornecedor com situação cadastral irregular na due diligence.
AC000173,TX000210,R001,Alta,2026-03-31,Aberto,636368.73,"Valor de R$ 1.636.368,73 acima da alçada do aprovador (Diretor, limite R$ 1.000.000,00)."
AC000174,TX000211,R005,Alta,2026-04-20,Aberto,5872.68,Fornecedor com situação cadastral irregular na due diligence.
AC000175,TX000212,R001,Alta,2026-04-13,Aberto,283261.39,"Valor de R$ 483.261,39 acima da alçada do aprovador (Gerente, limite R$ 200.000,00)."
AC000176,TX000212,R003,Alta,2026-04-13,Aberto,483261.39,Solicitante e aprovador são o mesmo colaborador.
AC000177,TX000213,R010,Alta,2026-05-06,Em análise,21070.51,Pagamento a fornecedor sinalizado como parte relacionada.
AC000178,TX000214,R005,Alta,2026-05-11,Aberto,5983.87,Fornecedor com situação cadastral irregular na due diligence.
AC000179,TX000216,R010,Alta,2026-03-23,Resolvido,1101.21,Pagamento a fornecedor sinalizado como parte relacionada.
AC000180,TX000218,R009,Média,2026-03-19,Em análise,375.22,"Brinde/hospitalidade de R$ 1.375,22 acima do teto de R$ 1.000,00."
AC000181,TX000219,R001,Alta,2025-08-18,Aberto,13209.12,"Valor de R$ 63.209,12 acima da alçada do aprovador (Coordenador, limite R$ 50.000,00)."
AC000182,TX000222,R005,Alta,2025-10-14,Aberto,3063.95,Fornecedor com situação cadastral irregular na due diligence.
AC000183,TX000222,R010,Alta,2025-10-14,Aberto,3063.95,Pagamento a fornecedor sinalizado como parte relacionada.
AC000184,TX000223,R010,Alta,2026-05-18,Aberto,44338.58,Pagamento a fornecedor sinalizado como parte relacionada.
AC000185,TX000224,R010,Alta,2025-09-16,Em análise,633.33,Pagamento a fornecedor sinalizado como parte relacionada.
AC000186,TX000226,R002,Alta,2026-02-25,Falso positivo,180047.47,"Pagamento de R$ 180.047,47 a fornecedor sem contrato vigente (acima do limite de R$ 50.000,00)."
AC000187,TX000226,R005,Alta,2026-02-25,Aberto,180047.47,Fornecedor com situação cadastral irregular na due diligence.
AC000188,TX000228,R001,Alta,2026-04-27,Em análise,1770.61,"Valor de R$ 11.770,61 acima da alçada do aprovador (Analista, limite R$ 10.000,00)."
AC000189,TX000230,R003,Alta,2026-06-15,Falso positivo,261705.79,Solicitante e aprovador são o mesmo colaborador.
AC000190,TX000233,R005,Alta,2025-11-03,Resolvido,45877.12,Fornecedor com situação cadastral irregular na due diligence.
AC000191,TX000233,R010,Alta,2025-11-03,Aberto,45877.12,Pagamento a fornecedor sinalizado como parte relacionada.
AC000192,TX000235,R010,Alta,2026-01-19,Falso positivo,36358.55,Pagamento a fornecedor sinalizado como parte relacionada.
AC000193,TX000236,R001,Alta,2025-07-18,Em análise,13398.83,"Valor de R$ 23.398,83 acima da alçada do aprovador (Analista, limite R$ 10.000,00)."
AC000194,TX000239,R008,Baixa,2025-07-09,Falso positivo,0.0,Lançamento sem categoria de despesa.
AC000195,TX000242,R001,Alta,2025-06-27,Em análise,13716.97,"Valor de R$ 23.716,97 acima da alçada do aprovador (Analista, limite R$ 10.000,00)."
AC000196,TX000242,R005,Alta,2025-06-27,Em análise,23716.97,Fornecedor com situação cadastral irregular na due diligence.
AC000197,TX000242,R006,Média,2025-06-27,Resolvido,23716.97,"Possível fracionamento: 4 pagamentos ao mesmo fornecedor em 10 dias somando R$ 67.578,10."
AC000198,TX000242,R010,Alta,2025-06-27,Falso positivo,23716.97,Pagamento a fornecedor sinalizado como parte relacionada.
AC000199,TX000247,R004,Baixa,2026-05-24,Em análise,0.0,Pagamento liquidado em domingo.
AC000200,TX000247,R005,Alta,2026-05-24,Aberto,184761.52,Fornecedor com situação cadastral irregular na due diligence.
AC000201,TX000251,R003,Alta,2025-12-04,Em análise,2928.2,Solicitante e aprovador são o mesmo colaborador.
AC000202,TX000251,R009,Média,2025-12-04,Resolvido,1928.2,"Brinde/hospitalidade de R$ 2.928,20 acima do teto de R$ 1.000,00."
AC000203,TX000252,R004,Baixa,2025-09-20,Aberto,0.0,Pagamento liquidado em sábado.
AC000204,TX000252,R005,Alta,2025-09-20,Resolvido,5621.87,Fornecedor com situação cadastral irregular na due diligence.
AC000205,TX000256,R004,Baixa,2026-05-09,Em análise,0.0,Pagamento liquidado em sábado.
AC000206,TX000258,R005,Alta,2025-07-31,Aberto,1542.3,Fornecedor com situação cadastral irregular na due diligence.
AC000207,TX000259,R001,Alta,2025-11-18,Em análise,3033.18,"Valor de R$ 13.033,18 acima da alçada do aprovador (Analista, limite R$ 10.000,00)."
AC000208,TX000259,R003,Alta,2025-11-18,Em análise,13033.18,Solicitante e aprovador são o mesmo colaborador.
AC000209,TX000260,R001,Alta,2026-05-07,Aberto,197687.6,"Valor de R$ 397.687,60 acima da alçada do aprovador (Gerente, limite R$ 200.000,00)."
AC000210,TX000260,R008,Baixa,2026-05-07,Em análise,0.0,Lançamento sem categoria de despesa.
AC000211,TX000260,R010,Alta,2026-05-07,Aberto,397687.6,Pagamento a fornecedor sinalizado como parte relacionada.
AC000212,TX000262,R009,Média,2025-08-28,Em análise,241.2,"Brinde/hospitalidade de R$ 1.241,20 acima do teto de R$ 1.000,00."
AC000213,TX000263,R005,Alta,2026-04-08,Falso positivo,6301.36,Fornecedor com situação cadastral irregular na due diligence.
AC000214,TX000265,R001,Alta,2025-07-18,Aberto,7628.9,"Valor de R$ 17.628,90 acima da alçada do aprovador (Analista, limite R$ 10.000,00)."
AC000215,TX000266,R009,Média,2025-08-14,Em análise,4905.29,"Brinde/hospitalidade de R$ 5.905,29 acima do teto de R$ 1.000,00."
AC000216,TX000267,R002,Alta,2025-12-26,Resolvido,121827.28,"Pagamento de R$ 121.827,28 a fornecedor sem contrato vigente (acima do limite de R$ 50.000,00)."
AC000217,TX000270,R008,Baixa,2026-02-12,Aberto,0.0,Lançamento sem categoria de despesa.
AC000218,TX000271,R005,Alta,2026-06-12,Resolvido,4546.39,Fornecedor com situação cadastral irregular na due diligence.
AC000219,TX000275,R003,Alta,2025-09-06,Resolvido,24522.85,Solicitante e aprovador são o mesmo colaborador.
AC000220,TX000275,R004,Baixa,2025-09-06,Em análise,0.0,Pagamento liquidado em sábado.
AC000221,TX000278,R005,Alta,2026-04-27,Aberto,675.82,Fornecedor com situação cadastral irregular na due diligence.
